samples,models,percentiles,accuracy,f1_score,auc
1,lr,10,0.7692307692307693,0.7735849056603773,0.7692307692307692
2,lr,10,0.7884615384615384,0.7864077669902914,0.7884615384615384
3,lr,10,0.8076923076923077,0.8058252427184466,0.8076923076923077
4,lr,10,0.8125,0.8115942028985508,0.8125
5,lr,10,0.8125,0.8097560975609756,0.8125
6,lr,10,0.8317307692307693,0.8275862068965517,0.8317307692307694
7,lr,10,0.8365384615384616,0.8316831683168318,0.8365384615384616
8,lr,10,0.8269230769230769,0.821782178217822,0.826923076923077
9,lr,10,0.8269230769230769,0.8235294117647058,0.8269230769230769
10,lr,10,0.8125,0.8115942028985508,0.8125
1,rfc,10,0.8076923076923077,0.8198198198198198,0.8076923076923077
2,rfc,10,0.8557692307692307,0.8557692307692307,0.8557692307692308
3,rfc,10,0.875,0.8761904761904762,0.875
4,rfc,10,0.8846153846153846,0.8823529411764707,0.8846153846153846
5,rfc,10,0.8413461538461539,0.8479262672811061,0.841346153846154
6,rfc,10,0.8653846153846154,0.8679245283018868,0.8653846153846154
7,rfc,10,0.8557692307692307,0.854368932038835,0.8557692307692308
8,rfc,10,0.8509615384615384,0.858447488584475,0.8509615384615384
9,rfc,10,0.8605769230769231,0.8625592417061612,0.860576923076923
10,rfc,10,0.8701923076923077,0.8732394366197184,0.8701923076923077
1,svc,10,0.75,0.761467889908257,0.7499999999999999
2,svc,10,0.8028846153846154,0.8019323671497586,0.8028846153846154
3,svc,10,0.8125,0.815165876777251,0.8125
4,svc,10,0.8269230769230769,0.8269230769230769,0.8269230769230769
5,svc,10,0.8173076923076923,0.8155339805825242,0.8173076923076923
6,svc,10,0.8269230769230769,0.8269230769230769,0.8269230769230769
7,svc,10,0.8365384615384616,0.8365384615384616,0.8365384615384617
8,svc,10,0.8461538461538461,0.8446601941747574,0.8461538461538463
9,svc,10,0.8125,0.8169014084507041,0.8125
10,svc,10,0.8125,0.815165876777251,0.8125
1,xgbc,10,0.8076923076923077,0.8165137614678899,0.8076923076923077
2,xgbc,10,0.8269230769230769,0.830188679245283,0.826923076923077
3,xgbc,10,0.8269230769230769,0.8235294117647058,0.8269230769230769
4,xgbc,10,0.8990384615384616,0.8985507246376813,0.8990384615384615
5,xgbc,10,0.8413461538461539,0.8436018957345972,0.8413461538461537
6,xgbc,10,0.875,0.8773584905660378,0.875
7,xgbc,10,0.8557692307692307,0.8529411764705882,0.8557692307692308
8,xgbc,10,0.8365384615384616,0.8411214953271028,0.8365384615384616
9,xgbc,10,0.8653846153846154,0.8679245283018868,0.8653846153846154
10,xgbc,10,0.8557692307692307,0.8571428571428571,0.8557692307692308
1,lr,20,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,20,0.8221153846153846,0.8195121951219512,0.8221153846153847
3,lr,20,0.8221153846153846,0.8195121951219512,0.8221153846153847
4,lr,20,0.8221153846153846,0.8195121951219512,0.8221153846153847
5,lr,20,0.8317307692307693,0.8275862068965517,0.8317307692307694
6,lr,20,0.8317307692307693,0.8275862068965517,0.8317307692307694
7,lr,20,0.8221153846153846,0.8177339901477833,0.8221153846153846
8,lr,20,0.8317307692307693,0.8241206030150754,0.8317307692307692
9,lr,20,0.8317307692307693,0.8258706467661692,0.8317307692307693
10,lr,20,0.8173076923076923,0.8155339805825242,0.8173076923076923
1,rfc,20,0.8028846153846154,0.8144796380090499,0.8028846153846154
2,rfc,20,0.8269230769230769,0.8333333333333334,0.826923076923077
3,rfc,20,0.8461538461538461,0.8446601941747574,0.8461538461538463
4,rfc,20,0.9038461538461539,0.9056603773584906,0.9038461538461539
5,rfc,20,0.8461538461538461,0.8532110091743119,0.8461538461538461
6,rfc,20,0.8846153846153846,0.8867924528301887,0.8846153846153847
7,rfc,20,0.875,0.8761904761904762,0.875
8,rfc,20,0.8461538461538461,0.8518518518518519,0.8461538461538461
9,rfc,20,0.875,0.8785046728971962,0.8749999999999999
10,rfc,20,0.8894230769230769,0.892018779342723,0.8894230769230769
1,svc,20,0.7884615384615384,0.8,0.7884615384615385
2,svc,20,0.8173076923076923,0.819047619047619,0.8173076923076923
3,svc,20,0.8028846153846154,0.807511737089202,0.8028846153846154
4,svc,20,0.8125,0.8133971291866029,0.8125
