samples,models,percentiles,accuracy,f1_score,auc
1,lr,10,0.7548076923076923,0.76056338028169,0.7548076923076924
2,lr,10,0.7836538461538461,0.782608695652174,0.783653846153846
3,lr,10,0.8269230769230769,0.8181818181818181,0.8269230769230769
4,lr,10,0.8028846153846154,0.8,0.8028846153846153
5,lr,10,0.8076923076923077,0.801980198019802,0.8076923076923077
6,lr,10,0.8028846153846154,0.7980295566502463,0.8028846153846153
7,lr,10,0.7836538461538461,0.7783251231527094,0.7836538461538461
8,lr,10,0.8221153846153846,0.814070351758794,0.8221153846153846
9,lr,10,0.8173076923076923,0.81,0.8173076923076923
10,lr,10,0.7932692307692307,0.7902439024390243,0.7932692307692307
1,rfc,10,0.7884615384615384,0.8035714285714286,0.7884615384615384
2,rfc,10,0.8317307692307693,0.835680751173709,0.8317307692307693
3,rfc,10,0.8413461538461539,0.8421052631578948,0.841346153846154
4,rfc,10,0.8846153846153846,0.883495145631068,0.8846153846153846
5,rfc,10,0.8653846153846154,0.8691588785046728,0.8653846153846154
6,rfc,10,0.8701923076923077,0.8708133971291866,0.8701923076923077
7,rfc,10,0.8942307692307693,0.8962264150943395,0.8942307692307692
8,rfc,10,0.8509615384615384,0.8571428571428571,0.8509615384615384
9,rfc,10,0.8461538461538461,0.8545454545454546,0.846153846153846
10,rfc,10,0.8557692307692307,0.8571428571428571,0.8557692307692308
1,svc,10,0.7692307692307693,0.7876106194690266,0.7692307692307693
2,svc,10,0.8125,0.8202764976958524,0.8125
3,svc,10,0.8269230769230769,0.8285714285714286,0.826923076923077
4,svc,10,0.8365384615384616,0.8365384615384616,0.8365384615384617
5,svc,10,0.8221153846153846,0.8294930875576038,0.8221153846153846
6,svc,10,0.8221153846153846,0.8294930875576038,0.8221153846153846
7,svc,10,0.8461538461538461,0.8446601941747574,0.8461538461538463
8,svc,10,0.8269230769230769,0.8285714285714286,0.826923076923077
9,svc,10,0.8269230769230769,0.830188679245283,0.826923076923077
10,svc,10,0.8076923076923077,0.8113207547169811,0.8076923076923076
1,xgbc,10,0.7788461538461539,0.7927927927927929,0.7788461538461539
2,xgbc,10,0.8221153846153846,0.8262910798122065,0.8221153846153847
