samples,models,percentiles,accuracy,f1_score,auc
1,lr,10,0.7548076923076923,0.76056338028169,0.7548076923076924
2,lr,10,0.7980769230769231,0.7941176470588236,0.798076923076923
3,lr,10,0.8269230769230769,0.8181818181818181,0.8269230769230769
4,lr,10,0.8125,0.8059701492537313,0.8125
5,lr,10,0.8173076923076923,0.8118811881188118,0.8173076923076923
6,lr,10,0.8125,0.8078817733990148,0.8124999999999999
7,lr,10,0.8125,0.8059701492537313,0.8125
8,lr,10,0.8269230769230769,0.8181818181818181,0.8269230769230769
9,lr,10,0.8173076923076923,0.81,0.8173076923076923
10,lr,10,0.8076923076923077,0.801980198019802,0.8076923076923077
1,rfc,10,0.8076923076923077,0.8230088495575222,0.8076923076923076
2,rfc,10,0.8461538461538461,0.8490566037735849,0.8461538461538461
3,rfc,10,0.8653846153846154,0.8666666666666667,0.8653846153846155
4,rfc,10,0.8942307692307693,0.8942307692307693,0.8942307692307693
5,rfc,10,0.8653846153846154,0.8703703703703703,0.8653846153846153
6,rfc,10,0.8701923076923077,0.8695652173913043,0.8701923076923077
7,rfc,10,0.8894230769230769,0.8909952606635071,0.8894230769230769
8,rfc,10,0.8701923076923077,0.8767123287671234,0.8701923076923077
9,rfc,10,0.8461538461538461,0.8558558558558559,0.846153846153846
10,rfc,10,0.8798076923076923,0.8837209302325582,0.8798076923076923
1,svc,10,0.7788461538461539,0.7909090909090908,0.7788461538461539
2,svc,10,0.8076923076923077,0.8165137614678899,0.8076923076923077
3,svc,10,0.8173076923076923,0.8207547169811321,0.8173076923076925
4,svc,10,0.8413461538461539,0.8405797101449275,0.8413461538461539
5,svc,10,0.8125,0.8169014084507041,0.8125
6,svc,10,0.8173076923076923,0.8207547169811321,0.8173076923076925
7,svc,10,0.8269230769230769,0.8333333333333334,0.826923076923077
8,svc,10,0.8365384615384616,0.8365384615384616,0.8365384615384617
9,svc,10,0.8365384615384616,0.8411214953271028,0.8365384615384616
10,svc,10,0.8221153846153846,0.8229665071770335,0.8221153846153846
1,xgbc,10,0.8028846153846154,0.8193832599118943,0.8028846153846154
2,xgbc,10,0.8317307692307693,0.8341232227488151,0.8317307692307693
3,xgbc,10,0.8798076923076923,0.8743718592964824,0.8798076923076925
4,xgbc,10,0.8894230769230769,0.8878048780487806,0.889423076923077
5,xgbc,10,0.8509615384615384,0.8558139534883721,0.8509615384615384
6,xgbc,10,0.8846153846153846,0.8811881188118811,0.8846153846153847
7,xgbc,10,0.8557692307692307,0.8557692307692307,0.8557692307692308
8,xgbc,10,0.8269230769230769,0.830188679245283,0.826923076923077
9,xgbc,10,0.8557692307692307,0.8623853211009175,0.8557692307692308
10,xgbc,10,0.8509615384615384,0.8502415458937198,0.8509615384615385
1,lr,20,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,20,0.8125,0.8115942028985508,0.8125
3,lr,20,0.8125,0.8097560975609756,0.8125
4,lr,20,0.8269230769230769,0.821782178217822,0.826923076923077
5,lr,20,0.8317307692307693,0.8275862068965517,0.8317307692307694
6,lr,20,0.8365384615384616,0.8316831683168318,0.8365384615384616
7,lr,20,0.8125,0.8059701492537313,0.8125
8,lr,20,0.8365384615384616,0.8300000000000001,0.8365384615384616
9,lr,20,0.8317307692307693,0.8258706467661692,0.8317307692307693
10,lr,20,0.8173076923076923,0.8137254901960785,0.8173076923076924
1,rfc,20,0.8076923076923077,0.8198198198198198,0.8076923076923077
2,rfc,20,0.8509615384615384,0.8558139534883721,0.8509615384615384
3,rfc,20,0.8461538461538461,0.8476190476190476,0.8461538461538461
4,rfc,20,0.9086538461538461,0.9107981220657276,0.9086538461538461
5,rfc,20,0.8701923076923077,0.8767123287671234,0.8701923076923077
6,rfc,20,0.8701923076923077,0.872037914691943,0.8701923076923077
7,rfc,20,0.8990384615384616,0.9023255813953489,0.8990384615384616
8,rfc,20,0.8798076923076923,0.8858447488584474,0.8798076923076923
9,rfc,20,0.8653846153846154,0.8703703703703703,0.8653846153846153
10,rfc,20,0.8942307692307693,0.8962264150943395,0.8942307692307692
1,svc,20,0.7836538461538461,0.7982062780269057,0.7836538461538463
2,svc,20,0.8221153846153846,0.8262910798122065,0.8221153846153847
3,svc,20,0.8173076923076923,0.8224299065420562,0.8173076923076924
4,svc,20,0.8269230769230769,0.8285714285714286,0.826923076923077
5,svc,20,0.8269230769230769,0.830188679245283,0.826923076923077
6,svc,20,0.8269230769230769,0.8285714285714286,0.826923076923077
7,svc,20,0.8173076923076923,0.824074074074074,0.8173076923076924
8,svc,20,0.8509615384615384,0.8502415458937198,0.8509615384615385
9,svc,20,0.8173076923076923,0.8207547169811321,0.8173076923076925
10,svc,20,0.8221153846153846,0.8229665071770335,0.8221153846153846
1,xgbc,20,0.8269230769230769,0.8378378378378378,0.8269230769230769
2,xgbc,20,0.8317307692307693,0.835680751173709,0.8317307692307693
3,xgbc,20,0.8317307692307693,0.8292682926829268,0.8317307692307693
4,xgbc,20,0.8990384615384616,0.8985507246376813,0.8990384615384615
5,xgbc,20,0.8461538461538461,0.8476190476190476,0.8461538461538461
6,xgbc,20,0.8846153846153846,0.8867924528301887,0.8846153846153847
7,xgbc,20,0.8942307692307693,0.8932038834951457,0.8942307692307693
8,xgbc,20,0.8557692307692307,0.854368932038835,0.8557692307692308
9,xgbc,20,0.8605769230769231,0.8599033816425121,0.8605769230769231
10,xgbc,20,0.8701923076923077,0.872037914691943,0.8701923076923077
1,lr,30,0.7644230769230769,0.7699530516431925,0.764423076923077
2,lr,30,0.8076923076923077,0.8058252427184466,0.8076923076923077
3,lr,30,0.8125,0.8097560975609756,0.8125
4,lr,30,0.8269230769230769,0.8235294117647058,0.8269230769230769
5,lr,30,0.8269230769230769,0.821782178217822,0.826923076923077
6,lr,30,0.8173076923076923,0.8118811881188118,0.8173076923076923
7,lr,30,0.8125,0.8097560975609756,0.8125
