samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
1,lr,10,0.8028846153846154,0.7980295566502463,0.8028846153846153,0.8173076923076923,0.8137254901960785,0.8173076923076924,0.8028846153846154,0.7980295566502463,0.8028846153846153,0.8028846153846154,0.7980295566502463,0.8028846153846153
2,lr,10,0.8413461538461539,0.83248730964467,0.8413461538461539,0.8221153846153846,0.8177339901477833,0.8221153846153846,0.8269230769230769,0.8181818181818181,0.8269230769230769,0.8221153846153846,0.8159203980099502,0.8221153846153846
3,lr,10,0.7884615384615384,0.7864077669902914,0.7884615384615384,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.7932692307692307,0.7902439024390243,0.7932692307692307,0.7788461538461539,0.7788461538461539,0.7788461538461539
4,lr,10,0.7884615384615384,0.7864077669902914,0.7884615384615384,0.8221153846153846,0.821256038647343,0.8221153846153846,0.7836538461538461,0.782608695652174,0.783653846153846,0.7740384615384616,0.7751196172248804,0.7740384615384615
5,lr,10,0.8653846153846154,0.8541666666666667,0.8653846153846153,0.8461538461538461,0.8400000000000001,0.8461538461538461,0.8653846153846154,0.8541666666666667,0.8653846153846153,0.8461538461538461,0.8350515463917526,0.846153846153846
6,lr,10,0.7596153846153846,0.7641509433962265,0.7596153846153846,0.8028846153846154,0.8038277511961722,0.8028846153846154,0.7596153846153846,0.766355140186916,0.7596153846153846,0.7548076923076923,0.7627906976744186,0.7548076923076923
7,lr,10,0.7884615384615384,0.7864077669902914,0.7884615384615384,0.7932692307692307,0.7981220657276996,0.7932692307692307,0.7740384615384616,0.7793427230046949,0.7740384615384616,0.7644230769230769,0.7677725118483412,0.764423076923077
8,lr,10,0.8221153846153846,0.814070351758794,0.8221153846153846,0.8221153846153846,0.8177339901477833,0.8221153846153846,0.8221153846153846,0.814070351758794,0.8221153846153846,0.8173076923076923,0.8155339805825242,0.8173076923076923
9,lr,10,0.7884615384615384,0.7864077669902914,0.7884615384615384,0.8076923076923077,0.8,0.8076923076923076,0.7884615384615384,0.7864077669902914,0.7884615384615384,0.7980769230769231,0.7941176470588236,0.798076923076923
10,lr,10,0.8173076923076923,0.81,0.8173076923076923,0.8221153846153846,0.8159203980099502,0.8221153846153846,0.8173076923076923,0.81,0.8173076923076923,0.7980769230769231,0.7941176470588236,0.798076923076923
