samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
1,lr,10,0.8173076923076923,0.81,0.8173076923076923,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8125,0.8097560975609756,0.8125,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
2,lr,10,0.8221153846153846,0.8177339901477833,0.8221153846153846,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8125,0.8097560975609756,0.8125,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
3,lr,10,0.8125,0.8059701492537313,0.8125,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8125,0.8097560975609756,0.8125,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
4,lr,10,0.8317307692307693,0.8275862068965517,0.8317307692307694,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.821782178217822,0.826923076923077,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
5,lr,10,0.8125,0.8059701492537313,0.8125,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8125,0.8097560975609756,0.8125,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
6,lr,10,0.8317307692307693,0.8275862068965517,0.8317307692307694,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.821782178217822,0.826923076923077,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
7,lr,10,0.8317307692307693,0.8275862068965517,0.8317307692307694,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.821782178217822,0.826923076923077,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
8,lr,10,0.8365384615384616,0.8316831683168318,0.8365384615384616,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.821782178217822,0.826923076923077,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 1000, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
9,lr,10,0.8173076923076923,0.81,0.8173076923076923,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8125,0.8097560975609756,0.8125,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
10,lr,10,0.8173076923076923,0.81,0.8173076923076923,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.821782178217822,0.826923076923077,0.7980769230769231,0.7961165048543688,0.798076923076923,"{'C': 100, 'max_iter': 1000}","{'C': 100, 'max_iter': 1000}","{'C': 1000, 'max_iter': 1000}","{'C': 10, 'max_iter': 1000}"
