samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_7.csv,ft_transformer,10,0.8894,0.893,0.9141,0.8846,0.8889,0.9263,0.8173,0.8021,0.8993
subsample_10.csv,ft_transformer,20,0.8798,0.878,0.9158,0.8846,0.8889,0.9255,0.8606,0.8571,0.9067
subsample_8.csv,ft_transformer,30,0.8798,0.8792,0.927,0.851,0.8502,0.927,0.8558,0.8585,0.905
subsample_3.csv,ft_transformer,50,0.8462,0.8333,0.9152,0.8654,0.8667,0.9352,0.8798,0.8815,0.916
subsample_1.csv,ft_transformer,75,0.8269,0.8125,0.8521,0.8606,0.8571,0.9185,0.8413,0.8436,0.9039
subsample_2.csv,ft_transformer,90,0.875,0.8713,0.9177,0.8798,0.8879,0.9312,0.8654,0.8667,0.9217
subsample_6.csv,ft_transformer,10,0.8846,0.8879,0.916,0.8846,0.8909,0.9124,0.8654,0.8654,0.929
subsample_5.csv,ft_transformer,20,0.7981,0.819,0.9032,0.8317,0.8472,0.9215,0.8125,0.834,0.8762
subsample_4.csv,ft_transformer,30,0.851,0.8442,0.9155,0.8413,0.8421,0.9108,0.8702,0.8683,0.9167
subsample_9.csv,ft_transformer,50,0.8702,0.8708,0.9259,0.8702,0.8708,0.9168,0.875,0.8725,0.9323
subsample_7.csv,ft_transformer,75,0.8798,0.8792,0.9249,0.8846,0.8879,0.9045,0.8654,0.8627,0.9129
subsample_10.csv,ft_transformer,90,0.8942,0.8991,0.9378,0.8462,0.8416,0.885,0.875,0.8774,0.9207
subsample_8.csv,ft_transformer,10,0.8894,0.893,0.9136,0.8702,0.872,0.9185,0.8894,0.893,0.9263
subsample_3.csv,ft_transformer,20,0.875,0.8762,0.9234,0.8894,0.893,0.9259,0.8894,0.894,0.9259
subsample_1.csv,ft_transformer,30,0.875,0.886,0.9195,0.8798,0.8804,0.9112,0.8654,0.875,0.9233
subsample_2.csv,ft_transformer,50,0.8846,0.8889,0.9085,0.8702,0.872,0.9205,0.875,0.8774,0.9148
subsample_6.csv,ft_transformer,75,0.8846,0.8889,0.9147,0.875,0.8774,0.91,0.8798,0.8792,0.9237
subsample_5.csv,ft_transformer,90,0.875,0.875,0.9053,0.8365,0.8333,0.9056,0.8846,0.8909,0.9016
subsample_4.csv,ft_transformer,10,0.8654,0.8654,0.9112,0.851,0.8502,0.8893,0.8894,0.894,0.9345
subsample_9.csv,ft_transformer,20,0.8846,0.8909,0.9135,0.8606,0.8543,0.9222,0.8798,0.8858,0.9001
subsample_7.csv,ft_transformer,30,0.8798,0.8858,0.8845,0.8798,0.8837,0.9172,0.8702,0.8683,0.9327
subsample_10.csv,ft_transformer,50,0.8846,0.8899,0.9305,0.851,0.8545,0.9256,0.8558,0.85,0.9127
subsample_8.csv,ft_transformer,75,0.8606,0.8571,0.9086,0.875,0.875,0.9274,0.8942,0.9,0.9211
subsample_3.csv,ft_transformer,90,0.8702,0.8767,0.9307,0.8846,0.8899,0.8998,0.8798,0.8869,0.9233
subsample_1.csv,ft_transformer,10,0.875,0.8807,0.9099,0.8654,0.8654,0.9289,0.8654,0.8654,0.9179
subsample_2.csv,ft_transformer,20,0.875,0.8762,0.928,0.8606,0.8543,0.9242,0.875,0.8774,0.9195
subsample_6.csv,ft_transformer,30,0.8702,0.872,0.9159,0.8798,0.8858,0.9099,0.8846,0.8879,0.8933
subsample_5.csv,ft_transformer,50,0.8942,0.8972,0.9283,0.875,0.8839,0.8974,0.8125,0.7892,0.9109
