samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc_score
subsample_7.csv,ft_transformer,10,0.8603,0.8615,0.9205,0.854,0.8488,0.9232,0.8616,0.8629,0.9232,0.8222,0.8247,0.8906
subsample_10.csv,ft_transformer,20,0.8616,0.865,0.9167,0.857,0.8582,0.9193,0.8477,0.856,0.9115,0.8182,0.824,0.8911
subsample_8.csv,ft_transformer,30,0.8616,0.8687,0.9202,0.8567,0.8591,0.9149,0.8547,0.8584,0.9171,0.8265,0.8331,0.898
subsample_3.csv,ft_transformer,50,0.8527,0.8613,0.9269,0.8507,0.8519,0.9229,0.8514,0.8572,0.9217,0.8255,0.8339,0.8953
subsample_1.csv,ft_transformer,75,0.8537,0.8623,0.9253,0.8689,0.8706,0.9267,0.8497,0.8538,0.917,0.8354,0.8364,0.9014
subsample_2.csv,ft_transformer,90,0.8676,0.8693,0.9201,0.8358,0.8352,0.9046,0.8547,0.857,0.9161,0.8308,0.8364,0.8927
subsample_6.csv,ft_transformer,10,0.8636,0.8667,0.9253,0.847,0.8479,0.9155,0.8324,0.8357,0.9078,0.8198,0.8281,0.8905
subsample_5.csv,ft_transformer,20,0.8497,0.8537,0.9085,0.8474,0.855,0.912,0.8271,0.8287,0.8995,0.8188,0.8252,0.8939
subsample_4.csv,ft_transformer,30,0.8733,0.8744,0.93,0.858,0.865,0.9238,0.8613,0.8627,0.9214,0.8384,0.8452,0.9061
subsample_9.csv,ft_transformer,50,0.8716,0.8707,0.9285,0.852,0.8513,0.9112,0.8437,0.8456,0.9202,0.8338,0.8332,0.902
subsample_7.csv,ft_transformer,75,0.8885,0.8911,0.9414,0.8603,0.8715,0.9344,0.8792,0.8817,0.9363,0.8553,0.8512,0.9199
subsample_10.csv,ft_transformer,90,0.8709,0.8762,0.9262,0.8607,0.8684,0.922,0.8553,0.8636,0.9167,0.852,0.8516,0.9146
subsample_8.csv,ft_transformer,10,0.8646,0.8741,0.9344,0.8689,0.8714,0.9275,0.867,0.8731,0.9292,0.8417,0.8385,0.9082
subsample_3.csv,ft_transformer,20,0.866,0.8686,0.9268,0.8679,0.869,0.9342,0.8733,0.8776,0.9392,0.8457,0.8481,0.9104
subsample_1.csv,ft_transformer,30,0.8835,0.8848,0.9447,0.8769,0.8774,0.9333,0.8643,0.8704,0.9299,0.855,0.8589,0.9233
