samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_1.csv,nas,10,0.8605769230769231,0.863849765258216,0.860576923076923,0.8701923076923077,0.8708133971291866,0.8701923076923077,0.8413461538461539,0.8390243902439023,0.8413461538461539
subsample_2.csv,nas,20,0.8557692307692307,0.85,0.8557692307692307,0.875,0.8773584905660378,0.875,0.8317307692307693,0.8241206030150754,0.8317307692307692
subsample_3.csv,nas,30,0.7980769230769231,0.7941176470588236,0.798076923076923,0.8701923076923077,0.872037914691943,0.8701923076923077,0.7980769230769231,0.7999999999999999,0.798076923076923
subsample_4.csv,nas,50,0.875,0.8761904761904762,0.875,0.8701923076923077,0.872037914691943,0.8701923076923077,0.8557692307692307,0.85,0.8557692307692307
subsample_5.csv,nas,75,0.8221153846153846,0.8195121951219512,0.8221153846153847,0.8846153846153846,0.8846153846153846,0.8846153846153845,0.8365384615384616,0.8316831683168318,0.8365384615384616
subsample_6.csv,nas,90,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.875,0.8761904761904762,0.875,0.8509615384615384,0.848780487804878,0.8509615384615385
subsample_7.csv,nas,10,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.875,0.8773584905660378,0.875,0.8605769230769231,0.8585365853658536,0.8605769230769231
subsample_8.csv,nas,20,0.8605769230769231,0.8571428571428572,0.8605769230769231,0.8798076923076923,0.881516587677725,0.8798076923076923,0.8509615384615384,0.848780487804878,0.8509615384615385
subsample_9.csv,nas,30,0.8413461538461539,0.8405797101449275,0.8413461538461539,0.8846153846153846,0.8867924528301887,0.8846153846153847,0.8317307692307693,0.8292682926829268,0.8317307692307693
subsample_10.csv,nas,50,0.8317307692307693,0.8325358851674641,0.8317307692307692,0.875,0.8773584905660378,0.875,0.8461538461538461,0.8431372549019608,0.8461538461538463
subsample_1.csv,nas,75,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8653846153846154,0.8679245283018868,0.8653846153846154,0.8653846153846154,0.8640776699029126,0.8653846153846154
subsample_2.csv,nas,90,0.875,0.875,0.875,0.875,0.875,0.875,0.8701923076923077,0.872037914691943,0.8701923076923077
subsample_3.csv,nas,10,0.8798076923076923,0.8792270531400966,0.8798076923076923,0.8846153846153846,0.8846153846153846,0.8846153846153845,0.8653846153846154,0.8653846153846154,0.8653846153846154
subsample_4.csv,nas,20,0.8653846153846154,0.8666666666666667,0.8653846153846155,0.8653846153846154,0.8666666666666667,0.8653846153846155,0.8653846153846154,0.8627450980392156,0.8653846153846154
subsample_5.csv,nas,30,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8798076923076923,0.8826291079812206,0.8798076923076923
subsample_6.csv,nas,50,0.875,0.875,0.875,0.8846153846153846,0.8857142857142858,0.8846153846153846,0.8894230769230769,0.8909952606635071,0.8894230769230769
subsample_7.csv,nas,75,0.8605769230769231,0.8557213930348259,0.860576923076923,0.8653846153846154,0.8666666666666667,0.8653846153846155,0.8701923076923077,0.8732394366197184,0.8701923076923077
subsample_8.csv,nas,90,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8653846153846154,0.8666666666666667,0.8653846153846155,0.8317307692307693,0.8341232227488151,0.8317307692307693
subsample_9.csv,nas,10,0.8701923076923077,0.8708133971291866,0.8701923076923077,0.8701923076923077,0.8695652173913043,0.8701923076923077,0.875,0.8761904761904762,0.875
subsample_10.csv,nas,20,0.8557692307692307,0.8514851485148514,0.8557692307692307,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8798076923076923,0.881516587677725,0.8798076923076923
subsample_1.csv,nas,30,0.8413461538461539,0.8374384236453203,0.8413461538461539,0.875,0.875,0.875,0.875,0.8761904761904762,0.875
subsample_2.csv,nas,50,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8701923076923077,0.8708133971291866,0.8701923076923077,0.8894230769230769,0.8878048780487806,0.889423076923077
subsample_3.csv,nas,75,0.8701923076923077,0.8708133971291866,0.8701923076923077,0.8798076923076923,0.878048780487805,0.8798076923076923,0.8701923076923077,0.872037914691943,0.8701923076923077
subsample_4.csv,nas,90,0.8605769230769231,0.8625592417061612,0.860576923076923,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8679245283018868,0.8653846153846154
subsample_5.csv,nas,10,0.875,0.875,0.875,0.875,0.875,0.875,0.8557692307692307,0.8557692307692307,0.8557692307692308
subsample_6.csv,nas,20,0.8605769230769231,0.8612440191387559,0.8605769230769231,0.8605769230769231,0.8612440191387559,0.8605769230769231,0.8605769230769231,0.8651162790697674,0.860576923076923
subsample_7.csv,nas,30,0.875,0.875,0.875,0.8653846153846154,0.8640776699029126,0.8653846153846154,0.875,0.875,0.875
subsample_8.csv,nas,50,0.8653846153846154,0.8666666666666667,0.8653846153846155,0.8605769230769231,0.8612440191387559,0.8605769230769231,0.875,0.8737864077669903,0.875
subsample_9.csv,nas,75,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8557692307692307,0.8557692307692307,0.8557692307692308,0.8701923076923077,0.8708133971291866,0.8701923076923077
subsample_10.csv,nas,90,0.8653846153846154,0.8627450980392156,0.8653846153846154,0.8701923076923077,0.8682926829268293,0.8701923076923077,0.8605769230769231,0.8612440191387559,0.8605769230769231
subsample_1.csv,nas,10,0.8701923076923077,0.8643216080402011,0.8701923076923076,0.8653846153846154,0.8627450980392156,0.8653846153846154,0.8605769230769231,0.8542713567839197,0.8605769230769231
subsample_2.csv,nas,20,0.8653846153846154,0.8666666666666667,0.8653846153846155,0.8509615384615384,0.8502415458937198,0.8509615384615385,0.8701923076923077,0.872037914691943,0.8701923076923077
subsample_3.csv,nas,30,0.8557692307692307,0.8529411764705882,0.8557692307692308,0.8653846153846154,0.8640776699029126,0.8653846153846154,0.8557692307692307,0.8557692307692307,0.8557692307692308
subsample_4.csv,nas,50,0.8317307692307693,0.8241206030150754,0.8317307692307692,0.8653846153846154,0.8613861386138615,0.8653846153846155,0.8461538461538461,0.8446601941747574,0.8461538461538463
subsample_5.csv,nas,75,0.8557692307692307,0.8529411764705882,0.8557692307692308,0.8509615384615384,0.848780487804878,0.8509615384615385,0.8798076923076923,0.8792270531400966,0.8798076923076923
subsample_6.csv,nas,90,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8653846153846154,0.8653846153846154,0.8653846153846154,0.8509615384615384,0.8516746411483254,0.8509615384615385
subsample_7.csv,nas,10,0.8461538461538461,0.8400000000000001,0.8461538461538461,0.8605769230769231,0.8585365853658536,0.8605769230769231,0.875,0.875,0.875
subsample_8.csv,nas,20,0.8221153846153846,0.814070351758794,0.8221153846153846,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8701923076923077,0.8708133971291866,0.8701923076923077
