samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc
subsample_2.csv,ft_transformer,10,0.836,0.8478,0.8799,0.8296,0.8296,0.8895,0.7267,0.7385,0.8185
subsample_1.csv,ft_transformer,20,0.8424,0.8502,0.8829,0.8585,0.8683,0.8993,0.8167,0.8267,0.8677
subsample_3.csv,ft_transformer,30,0.8103,0.8103,0.8589,0.8489,0.858,0.8864,0.8167,0.8246,0.8763
subsample_7.csv,ft_transformer,50,0.8521,0.8571,0.896,0.836,0.844,0.898,0.8521,0.858,0.8807
subsample_9.csv,ft_transformer,75,0.8103,0.8066,0.8585,0.8617,0.8701,0.8918,0.8264,0.828,0.8906
subsample_6.csv,ft_transformer,90,0.8296,0.8227,0.8536,0.8553,0.8607,0.9142,0.836,0.8421,0.8941
subsample_8.csv,ft_transformer,10,0.8264,0.8344,0.8909,0.8296,0.8389,0.862,0.8135,0.8274,0.879
subsample_5.csv,ft_transformer,20,0.8264,0.8291,0.9027,0.8264,0.8291,0.8641,0.8392,0.8387,0.8849
subsample_10.csv,ft_transformer,30,0.8392,0.8503,0.8558,0.8457,0.8491,0.9042,0.8103,0.8066,0.8593
subsample_4.csv,ft_transformer,50,0.8553,0.8615,0.8986,0.8006,0.8062,0.8778,0.8296,0.8328,0.8929
subsample_2.csv,ft_transformer,75,0.836,0.8459,0.8825,0.8392,0.8494,0.8877,0.8682,0.8761,0.9058
subsample_1.csv,ft_transformer,90,0.8328,0.8452,0.8969,0.8553,0.8657,0.8772,0.836,0.845,0.8792
subsample_3.csv,ft_transformer,10,0.836,0.8478,0.8893,0.8264,0.8344,0.9002,0.8328,0.8385,0.9046
subsample_7.csv,ft_transformer,20,0.8457,0.8596,0.9038,0.8264,0.8291,0.8406,0.8457,0.8491,0.901
subsample_9.csv,ft_transformer,30,0.8489,0.8597,0.8896,0.8489,0.8605,0.9095,0.8167,0.8309,0.8848
subsample_6.csv,ft_transformer,50,0.8232,0.8368,0.8711,0.8489,0.8605,0.8723,0.8457,0.85,0.8859
subsample_8.csv,ft_transformer,75,0.8553,0.8598,0.895,0.8553,0.8665,0.903,0.836,0.8421,0.9009
subsample_5.csv,ft_transformer,90,0.8135,0.8294,0.8466,0.8521,0.8598,0.8997,0.8585,0.8667,0.8572
subsample_10.csv,ft_transformer,10,0.836,0.8478,0.8756,0.8521,0.8614,0.8713,0.8585,0.8642,0.8878
subsample_4.csv,ft_transformer,20,0.8553,0.8665,0.8968,0.8264,0.8393,0.9066,0.8553,0.864,0.8563
subsample_2.csv,ft_transformer,30,0.8424,0.8454,0.8709,0.8424,0.8474,0.9032,0.8585,0.8659,0.9034
subsample_1.csv,ft_transformer,50,0.8521,0.8553,0.9014,0.8553,0.8624,0.8814,0.8457,0.8596,0.8652
subsample_3.csv,ft_transformer,75,0.8424,0.8546,0.9033,0.8489,0.8563,0.8849,0.8039,0.8272,0.8529
subsample_7.csv,ft_transformer,90,0.8232,0.8433,0.8428,0.8457,0.8596,0.9041,0.8424,0.8546,0.9046
