samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pc_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,ft_transformer,10,0.8547,0.8538,0.9141,0.8457,0.8521,0.9089,0.8407,0.8495,0.9092,0.8434,0.8508,0.9069
subsample_9_v2.csv,ft_transformer,10,0.857,0.8537,0.9285,0.8719,0.8766,0.9321,0.86,0.8651,0.918,0.858,0.8587,0.9182
subsample_3_v2.csv,ft_transformer,10,0.866,0.8703,0.9218,0.8567,0.8614,0.9221,0.8278,0.8262,0.9062,0.8417,0.845,0.9089
subsample_6_v2.csv,ft_transformer,10,0.861,0.8666,0.9233,0.8484,0.8543,0.9234,0.8444,0.842,0.9162,0.8122,0.831,0.8903
subsample_7_v2.csv,ft_transformer,10,0.8743,0.8765,0.9293,0.858,0.8606,0.9197,0.8444,0.8544,0.9124,0.8573,0.8608,0.9167
subsample_8_v2.csv,ft_transformer,10,0.8686,0.8692,0.9211,0.8497,0.8488,0.9193,0.8427,0.8478,0.9114,0.8444,0.8461,0.9097
subsample_4_v2.csv,ft_transformer,10,0.8626,0.8625,0.9241,0.8613,0.8675,0.9279,0.8563,0.8616,0.9234,0.8557,0.8588,0.9202
subsample_1_v2.csv,ft_transformer,10,0.8603,0.856,0.9264,0.8261,0.8424,0.9189,0.855,0.8523,0.9238,0.8441,0.8458,0.9116
subsample_10_v2.csv,ft_transformer,10,0.8583,0.8598,0.9137,0.858,0.8589,0.9152,0.852,0.8525,0.9115,0.8421,0.8447,0.9059
subsample_2_v2.csv,ft_transformer,10,0.8607,0.8621,0.9162,0.8583,0.8606,0.9098,0.8434,0.8451,0.9131,0.8261,0.8366,0.8967
subsample_5_v2.csv,ft_transformer,20,0.8743,0.8754,0.9359,0.8679,0.8729,0.9224,0.8643,0.8679,0.9224,0.8341,0.8391,0.8995
subsample_9_v2.csv,ft_transformer,20,0.8656,0.859,0.9436,0.8729,0.8776,0.9316,0.8915,0.8918,0.9458,0.8679,0.8717,0.9278
subsample_3_v2.csv,ft_transformer,20,0.866,0.8668,0.9285,0.867,0.8709,0.9356,0.86,0.8639,0.928,0.8421,0.8378,0.9129
subsample_6_v2.csv,ft_transformer,20,0.8696,0.871,0.9315,0.8623,0.8701,0.933,0.8686,0.874,0.9297,0.8494,0.853,0.9156
subsample_7_v2.csv,ft_transformer,20,0.866,0.8724,0.9255,0.8759,0.8777,0.9347,0.8743,0.8812,0.9357,0.849,0.849,0.9141
subsample_8_v2.csv,ft_transformer,20,0.8733,0.8748,0.9299,0.8573,0.8544,0.9236,0.8626,0.8709,0.9244,0.8437,0.8457,0.9087
subsample_4_v2.csv,ft_transformer,20,0.8689,0.8767,0.9388,0.8799,0.8833,0.9362,0.8729,0.8753,0.9308,0.8653,0.8686,0.9218
subsample_1_v2.csv,ft_transformer,20,0.8779,0.878,0.9413,0.8799,0.8822,0.9441,0.8729,0.8763,0.9342,0.8487,0.8524,0.9114
subsample_10_v2.csv,ft_transformer,20,0.8626,0.8603,0.9273,0.8699,0.8728,0.9236,0.8643,0.8639,0.9302,0.8441,0.8378,0.9131
subsample_2_v2.csv,ft_transformer,20,0.8686,0.8762,0.9257,0.866,0.8661,0.9243,0.866,0.8734,0.9292,0.8494,0.8501,0.9148
subsample_5_v2.csv,ft_transformer,30,0.8779,0.8801,0.9329,0.8706,0.8727,0.9308,0.8752,0.8791,0.9306,0.8713,0.8747,0.9287
subsample_9_v2.csv,ft_transformer,30,0.8885,0.8895,0.9429,0.8706,0.8689,0.934,0.8875,0.888,0.9464,0.8865,0.8851,0.9456
subsample_3_v2.csv,ft_transformer,30,0.8699,0.8738,0.9353,0.858,0.8556,0.9277,0.8716,0.8764,0.9367,0.8524,0.8575,0.9112
subsample_6_v2.csv,ft_transformer,30,0.8603,0.8553,0.9375,0.8719,0.8765,0.931,0.8693,0.8765,0.9371,0.8709,0.8788,0.9416
subsample_7_v2.csv,ft_transformer,30,0.8895,0.8897,0.9437,0.8782,0.8796,0.935,0.8607,0.8568,0.9289,0.856,0.8487,0.9388
subsample_8_v2.csv,ft_transformer,30,0.8806,0.8831,0.9366,0.8769,0.8792,0.933,0.8696,0.868,0.926,0.8779,0.8791,0.9368
subsample_4_v2.csv,ft_transformer,30,0.8769,0.8792,0.9314,0.8716,0.8695,0.9397,0.8799,0.8812,0.9377,0.8666,0.8685,0.9247
subsample_1_v2.csv,ft_transformer,30,0.8696,0.8769,0.9409,0.852,0.8629,0.9316,0.8646,0.8653,0.9269,0.864,0.862,0.9275
subsample_10_v2.csv,ft_transformer,30,0.854,0.8522,0.9232,0.8474,0.8478,0.9117,0.8689,0.8754,0.9277,0.857,0.8538,0.9275
subsample_2_v2.csv,ft_transformer,30,0.8772,0.8783,0.9349,0.8789,0.8818,0.9326,0.867,0.8743,0.9288,0.8759,0.8751,0.9377
subsample_5_v2.csv,ft_transformer,50,0.863,0.8678,0.9282,0.8673,0.8745,0.9251,0.8643,0.8663,0.9288,0.8756,0.8762,0.9343
subsample_9_v2.csv,ft_transformer,50,0.8766,0.8724,0.9469,0.8786,0.8794,0.9362,0.8733,0.8762,0.9333,0.8676,0.8603,0.9418
subsample_3_v2.csv,ft_transformer,50,0.8736,0.8775,0.9338,0.861,0.8684,0.9305,0.8799,0.884,0.9423,0.8733,0.875,0.9361
subsample_6_v2.csv,ft_transformer,50,0.8716,0.8762,0.9196,0.8593,0.8651,0.9259,0.863,0.8646,0.93,0.8706,0.8774,0.9393
subsample_7_v2.csv,ft_transformer,50,0.8816,0.8872,0.9397,0.8792,0.8807,0.9334,0.8603,0.8501,0.9421,0.867,0.8651,0.9275
subsample_8_v2.csv,ft_transformer,50,0.8679,0.8671,0.9295,0.8772,0.8802,0.9368,0.8766,0.8757,0.9378,0.8607,0.8597,0.9262
subsample_4_v2.csv,ft_transformer,50,0.8859,0.8869,0.9436,0.8832,0.8859,0.9421,0.8723,0.8795,0.9355,0.8842,0.8825,0.9439
subsample_1_v2.csv,ft_transformer,50,0.8865,0.8907,0.9458,0.8633,0.8596,0.9245,0.8689,0.8686,0.9361,0.8845,0.8887,0.9514
subsample_10_v2.csv,ft_transformer,50,0.865,0.871,0.9253,0.8683,0.8669,0.9331,0.8689,0.8764,0.9287,0.8802,0.8834,0.9386
subsample_2_v2.csv,ft_transformer,50,0.8699,0.8715,0.9269,0.851,0.848,0.9163,0.8733,0.8756,0.928,0.8829,0.8851,0.9425
