samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_7.csv,ft_transformer,10,0.7262,0.7121,0.7808,0.7492,0.7266,0.7981,0.7225,0.7226,0.7785,0.7125,0.6843,0.7755
subsample_10.csv,ft_transformer,10,0.7262,0.7125,0.788,0.7329,0.716,0.7929,0.7229,0.6854,0.7879,0.7347,0.7409,0.7939
subsample_8.csv,ft_transformer,10,0.7351,0.7009,0.7829,0.7451,0.7318,0.7939,0.7362,0.7201,0.7838,0.7133,0.7289,0.7757
subsample_3.csv,ft_transformer,10,0.7481,0.7262,0.7941,0.7336,0.7061,0.793,0.7429,0.7313,0.7938,0.7388,0.7362,0.7822
subsample_1.csv,ft_transformer,10,0.7296,0.703,0.7883,0.7592,0.7365,0.8007,0.7444,0.7143,0.792,0.7373,0.7185,0.7915
subsample_2.csv,ft_transformer,10,0.7573,0.728,0.8015,0.7684,0.7441,0.8104,0.7684,0.7441,0.8074,0.7403,0.7296,0.7905
subsample_6.csv,ft_transformer,10,0.7495,0.7192,0.7991,0.7499,0.7432,0.803,0.7407,0.7385,0.8017,0.7222,0.7388,0.7953
subsample_5.csv,ft_transformer,10,0.717,0.7108,0.7854,0.7373,0.7183,0.7889,0.7303,0.7106,0.7829,0.7103,0.6834,0.7894
subsample_4.csv,ft_transformer,10,0.7381,0.7342,0.8008,0.7547,0.733,0.7984,0.7395,0.7179,0.7967,0.7384,0.7437,0.7921
subsample_9.csv,ft_transformer,10,0.7477,0.7268,0.7875,0.7248,0.7064,0.7857,0.7111,0.7106,0.7774,0.7266,0.738,0.7776
subsample_7.csv,ft_transformer,20,0.7425,0.7251,0.8033,0.7469,0.7381,0.8006,0.7506,0.7304,0.7869,0.7455,0.7183,0.7974
subsample_10.csv,ft_transformer,20,0.7558,0.7397,0.8059,0.7421,0.7353,0.8028,0.7551,0.7341,0.8053,0.7425,0.7362,0.8038
subsample_8.csv,ft_transformer,20,0.737,0.731,0.7939,0.7444,0.7174,0.79,0.7447,0.7211,0.7888,0.7414,0.7333,0.7902
subsample_3.csv,ft_transformer,20,0.7532,0.7318,0.8032,0.7503,0.7264,0.8005,0.7477,0.7365,0.7947,0.7481,0.7374,0.7935
subsample_1.csv,ft_transformer,20,0.7547,0.7355,0.8054,0.7603,0.7463,0.8116,0.758,0.7425,0.8067,0.7532,0.7346,0.8111
subsample_2.csv,ft_transformer,20,0.771,0.7503,0.8121,0.7691,0.7449,0.8145,0.771,0.7505,0.8123,0.7606,0.7466,0.8139
subsample_6.csv,ft_transformer,20,0.7614,0.7371,0.8114,0.7495,0.746,0.8087,0.7458,0.7268,0.8063,0.7414,0.7225,0.789
subsample_5.csv,ft_transformer,20,0.7518,0.7295,0.7934,0.7551,0.7337,0.8005,0.7532,0.7354,0.8,0.7492,0.7398,0.8001
subsample_4.csv,ft_transformer,20,0.761,0.7414,0.8073,0.7407,0.7273,0.8055,0.7562,0.7352,0.812,0.7403,0.7116,0.7984
subsample_9.csv,ft_transformer,20,0.7336,0.7092,0.7864,0.7425,0.7376,0.7912,0.7488,0.7283,0.795,0.7469,0.7237,0.7942
subsample_7.csv,ft_transformer,30,0.7458,0.7375,0.7913,0.7447,0.7338,0.7951,0.7458,0.7309,0.8002,0.7462,0.732,0.7973
subsample_10.csv,ft_transformer,30,0.7551,0.7326,0.8049,0.7573,0.7374,0.7977,0.7469,0.7417,0.8038,0.7503,0.7415,0.8015
subsample_8.csv,ft_transformer,30,0.7532,0.7325,0.7871,0.7488,0.7347,0.7981,0.7495,0.7284,0.7958,0.7414,0.7304,0.7946
subsample_3.csv,ft_transformer,30,0.7518,0.744,0.8013,0.7503,0.7282,0.8015,0.7529,0.7399,0.8043,0.741,0.7196,0.7956
