length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
17,subsample_10_v2.csv,lr,10,0.740371545,0.718150516,0.740335974,0.733121885,0.712823013,0.733090008,0.728137744,0.711260828,0.728111409,0.744410876,0.729366603,0.744410876
17,subsample_1_v2.csv,lr,10,0.729497055,0.70806846,0.729463945,0.734481196,0.713026445,0.734447472,0.726325329,0.707080504,0.726295709,0.742296073,0.725635252,0.742296073
17,subsample_2_v2.csv,lr,10,0.746714998,0.723677706,0.746677375,0.745355686,0.72260612,0.74531868,0.741730856,0.720039293,0.741695902,0.742296073,0.726690163,0.742296073
17,subsample_3_v2.csv,lr,10,0.732668781,0.710784314,0.732634646,0.730856366,0.709960937,0.730823873,0.725419121,0.706395349,0.725389912,0.732326284,0.719442685,0.732326284
17,subsample_4_v2.csv,lr,10,0.721341187,0.703899856,0.721314646,0.713638423,0.696153846,0.713612496,0.713638423,0.698185291,0.71361537,0.728096677,0.714828897,0.728096677
17,subsample_5_v2.csv,lr,10,0.724966017,0.704335119,0.724934549,0.722247395,0.701703163,0.722216337,0.718622565,0.700144858,0.718594791,0.731117825,0.717639594,0.731117825
17,subsample_6_v2.csv,lr,10,0.7349343,0.711396152,0.734897496,0.730403262,0.70790378,0.730368511,0.72768464,0.707257672,0.727653173,0.737462236,0.721206288,0.737462236
17,subsample_7_v2.csv,lr,10,0.726325329,0.704789834,0.726292424,0.726325329,0.703339882,0.726290371,0.724966017,0.704335119,0.724934549,0.73081571,0.715608043,0.73081571
17,subsample_8_v2.csv,lr,10,0.739465338,0.717166749,0.739429767,0.736293611,0.713864307,0.736258245,0.728590847,0.708231856,0.72855938,0.730513595,0.717005076,0.730513595
17,subsample_9_v2.csv,lr,10,0.722700498,0.70233463,0.722669646,0.722247395,0.701121404,0.722215516,0.722700498,0.702623907,0.722670057,0.740785498,0.725527831,0.740785498
17,subsample_10_v2.csv,rfc,10,0.763932941,0.762425901,0.763930223,0.759401903,0.757644911,0.759398774,0.751246035,0.752814048,0.751249064,0.757703927,0.758724428,0.757703927
17,subsample_1_v2.csv,rfc,10,0.767557771,0.769230769,0.767561213,0.768917082,0.770889488,0.768921141,0.757136384,0.752081406,0.757127301,0.750755287,0.74701012,0.750755287
17,subsample_2_v2.csv,rfc,10,0.772541912,0.769301471,0.772535706,0.768463978,0.761103319,0.768450175,0.768917082,0.764107308,0.768908001,0.760422961,0.760350559,0.760422961
17,subsample_3_v2.csv,rfc,10,0.767557771,0.766073871,0.767555054,0.77344812,0.774571686,0.773450537,0.761667422,0.762420958,0.761669015,0.749244713,0.751942618,0.749244713
17,subsample_4_v2.csv,rfc,10,0.752152243,0.750797267,0.752149934,0.743090168,0.740977615,0.743086625,0.73855913,0.738795835,0.738559692,0.743504532,0.746188341,0.743504532
17,subsample_5_v2.csv,rfc,10,0.759401903,0.759401903,0.759402059,0.749886724,0.74863388,0.74988462,0.745355686,0.745471014,0.745356045,0.739879154,0.743061773,0.739879154
17,subsample_6_v2.csv,rfc,10,0.759401903,0.757865937,0.759399185,0.755777073,0.753318078,0.755772711,0.752152243,0.749197616,0.752147059,0.754380665,0.754454847,0.754380665
17,subsample_7_v2.csv,rfc,10,0.743090168,0.748335553,0.743099764,0.74943362,0.75212909,0.749438701,0.74580879,0.748091603,0.745813049,0.741087613,0.746524697,0.741087613
17,subsample_8_v2.csv,rfc,10,0.761667422,0.760473588,0.76166532,0.764386044,0.763851045,0.764385175,0.758948799,0.75729927,0.758945876,0.744108761,0.747088683,0.744108761
17,subsample_9_v2.csv,rfc,10,0.766198459,0.770053476,0.766206213,0.765745356,0.769093345,0.765752083,0.753511554,0.75,0.753505344,0.758912387,0.75862069,0.758912387
17,subsample_10_v2.csv,xgbc,10,0.762573629,0.762466002,0.762573581,0.758042592,0.757272727,0.75804131,0.75305845,0.752385279,0.753057373,0.753172205,0.751897965,0.753172205
17,subsample_1_v2.csv,xgbc,10,0.764386044,0.760809568,0.764379426,0.763932941,0.759797142,0.763925296,0.755777073,0.751498386,0.755769427,0.746223565,0.743276284,0.746223565
17,subsample_2_v2.csv,xgbc,10,0.76982329,0.767824497,0.769819547,0.768010874,0.762523191,0.768000562,0.765292252,0.760185185,0.76528276,0.752870091,0.750152718,0.752870091
17,subsample_3_v2.csv,xgbc,10,0.771635705,0.772563177,0.771637711,0.771182601,0.773644106,0.771187686,0.761667422,0.763913824,0.76167189,0.743202417,0.74211165,0.743202417
17,subsample_4_v2.csv,xgbc,10,0.753511554,0.752502275,0.753509861,0.74943362,0.75212909,0.749438701,0.740371545,0.739427012,0.740370055,0.740181269,0.741586538,0.740181269
17,subsample_5_v2.csv,xgbc,10,0.755323969,0.755434783,0.75532433,0.752605347,0.749080882,0.752599137,0.748074309,0.751563896,0.748080827,0.731722054,0.732851986,0.731722054
17,subsample_6_v2.csv,xgbc,10,0.761214318,0.760997732,0.761214064,0.755777073,0.752638825,0.75577148,0.74943362,0.746910755,0.749429257,0.746223565,0.745300182,0.746223565
