samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_5_v2.csv,ft_transformer,10,0.7168,0.6712,0.7697,0.7209,0.6686,0.7622,0.713,0.6667,0.7703,0.7088,0.6776,0.76
subsample_9_v2.csv,ft_transformer,10,0.7095,0.6818,0.7639,0.6974,0.6496,0.7401,0.7036,0.6398,0.7618,0.7185,0.6905,0.7646
subsample_3_v2.csv,ft_transformer,10,0.7022,0.6601,0.7469,0.7088,0.6659,0.7525,0.6926,0.6451,0.755,0.7019,0.6764,0.7483
subsample_6_v2.csv,ft_transformer,10,0.7302,0.6904,0.7719,0.7154,0.6748,0.77,0.7181,0.6631,0.7656,0.7202,0.6664,0.7719
subsample_7_v2.csv,ft_transformer,10,0.713,0.6732,0.7705,0.7112,0.6938,0.7685,0.7147,0.6567,0.7659,0.714,0.6798,0.7611
subsample_8_v2.csv,ft_transformer,10,0.7095,0.6543,0.7687,0.7185,0.671,0.7649,0.7095,0.6693,0.7657,0.7109,0.6703,0.7628
subsample_4_v2.csv,ft_transformer,10,0.7302,0.6826,0.7718,0.7181,0.6606,0.7614,0.7185,0.6634,0.7596,0.7178,0.6715,0.7636
subsample_1_v2.csv,ft_transformer,10,0.7154,0.6715,0.757,0.6846,0.6921,0.752,0.6867,0.6539,0.7395,0.6926,0.6833,0.7492
subsample_10_v2.csv,ft_transformer,10,0.7209,0.6765,0.7651,0.7226,0.6766,0.7639,0.7119,0.6582,0.7605,0.714,0.6823,0.7539
subsample_2_v2.csv,ft_transformer,10,0.7036,0.6521,0.7573,0.7133,0.6696,0.7477,0.7012,0.6614,0.7461,0.7154,0.6751,0.7533
subsample_5_v2.csv,ft_transformer,20,0.7264,0.6832,0.7704,0.7275,0.6817,0.771,0.7278,0.6807,0.7669,0.7195,0.6791,0.7631
subsample_9_v2.csv,ft_transformer,20,0.7192,0.6736,0.7654,0.7019,0.645,0.7608,0.7202,0.6763,0.7618,0.7178,0.6787,0.7561
subsample_3_v2.csv,ft_transformer,20,0.7185,0.6744,0.7586,0.7181,0.6741,0.7614,0.7181,0.6741,0.7593,0.7043,0.6584,0.7512
subsample_6_v2.csv,ft_transformer,20,0.7309,0.687,0.7746,0.7285,0.6944,0.7735,0.7337,0.6865,0.7687,0.6933,0.6346,0.7554
subsample_7_v2.csv,ft_transformer,20,0.725,0.69,0.776,0.7302,0.6834,0.766,0.7157,0.6609,0.7646,0.7195,0.6747,0.7685
subsample_8_v2.csv,ft_transformer,20,0.7057,0.6456,0.7667,0.7226,0.681,0.7723,0.7199,0.6765,0.7688,0.7109,0.6719,0.7582
subsample_4_v2.csv,ft_transformer,20,0.7313,0.6835,0.7661,0.7302,0.6837,0.7752,0.7299,0.6854,0.7726,0.7085,0.7005,0.7423
subsample_1_v2.csv,ft_transformer,20,0.7074,0.6995,0.754,0.7171,0.6769,0.7577,0.7171,0.6759,0.7604,0.7109,0.6667,0.7506
subsample_10_v2.csv,ft_transformer,20,0.723,0.6797,0.7652,0.7067,0.649,0.7547,0.7278,0.7149,0.7705,0.7143,0.6974,0.7569
