length_text,samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
8,subsample_5_v2.csv,ft_transformer,10,0.7137,0.6516,0.7512,0.6785,0.6272,0.7372,0.6918,0.6256,0.7413,0.6928,0.6275,0.7396
8,subsample_9_v2.csv,ft_transformer,10,0.7137,0.6596,0.7584,0.6891,0.6465,0.7507,0.7157,0.6532,0.742,0.7004,0.6334,0.7517
8,subsample_3_v2.csv,ft_transformer,10,0.7017,0.6347,0.7416,0.7054,0.6457,0.7446,0.6931,0.6254,0.7414,0.6772,0.6346,0.7313
8,subsample_6_v2.csv,ft_transformer,10,0.7004,0.6328,0.7537,0.7067,0.6453,0.7479,0.6894,0.6211,0.7548,0.7014,0.6386,0.752
8,subsample_7_v2.csv,ft_transformer,10,0.709,0.6416,0.7523,0.6921,0.6769,0.746,0.6858,0.6756,0.7324,0.6954,0.6721,0.7495
8,subsample_8_v2.csv,ft_transformer,10,0.6984,0.65,0.7495,0.7044,0.642,0.756,0.6901,0.6515,0.7506,0.6921,0.6469,0.739
8,subsample_4_v2.csv,ft_transformer,10,0.71,0.6532,0.7505,0.719,0.6558,0.7637,0.6934,0.6399,0.7448,0.7034,0.643,0.7575
8,subsample_1_v2.csv,ft_transformer,10,0.7193,0.6561,0.7651,0.7196,0.6629,0.7652,0.6788,0.6322,0.731,0.712,0.6443,0.7645
8,subsample_10_v2.csv,ft_transformer,10,0.7077,0.6483,0.7523,0.7064,0.6447,0.7426,0.6815,0.588,0.7424,0.6981,0.6331,0.7463
8,subsample_2_v2.csv,ft_transformer,10,0.6908,0.6202,0.7466,0.6858,0.6276,0.7328,0.6954,0.6169,0.7481,0.7044,0.6377,0.7513
8,subsample_5_v2.csv,ft_transformer,20,0.704,0.6502,0.7469,0.7133,0.6511,0.743,0.6997,0.6518,0.7412,0.7007,0.6378,0.7506
8,subsample_9_v2.csv,ft_transformer,20,0.7183,0.6622,0.7578,0.7094,0.6422,0.748,0.7153,0.6529,0.7666,0.71,0.6556,0.7571
